學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0108-2,數學系 MATH,C111820-Z  [MATH],1,基礎國文,基礎國文（二）,2  必修,,40/請參考備註,[5]7~8,Moodle,
0108-2,數學系 MATH,A119120-Z5  [FLC1001],1,講義,外國語言（二）,2  必修,,0/請參4考備註,[4]3~4,Moodle,
0108-2,數學系 MATH,C1-003  C117920  [MATH1102],1,實習,服務學習（二）,0  必修,林育竹,45/網路選課不開放,[1]N,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C117920&class_code=
0108-2,數學系 MATH,C1-005  C115621-1  [MATH1123],1,講義,微積分（二）,4  必修,林育竹,454/16,[1]2~3 理學教學大樓 36202[3]5~6 理學教學大樓 36202,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C115621&class_code=1
0108-2,,C115621-1  [MATH1123],1,實習,,,林育竹,4,[1]1 數學系館 3172,,
0108-2,數學系 MATH,C1-007  C111221  [MATH2103],1,講義,線性代數（二）,3  必修,劉珈銘,647/13,[3]2 資訊大樓 格致廳小講堂[5]3~4 資訊大樓 格致廳小講堂,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C111221&class_code=
0108-2,,C111221  [MATH2103],1,實習,,,劉珈銘,4,[3]1 資訊大樓 格致廳小講堂,,
0108-2,數學系 MATH,C1-009  C115720-1  [PHYS1013],1,講義,普通物理學（二）,3  必修,游輝樟,54/16,[2]3~4 數學系館 3172[4]2 數學系館 3172,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C115720&class_code=1
0108-2,數學系 MATH,C1-010  C111400  [MATH1141],1,講義,計算機概論與程式語言,3  必修,沈士育,57/13,[3]7~8 數學系館 3172[5]2 數學系館 3172,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C111400&class_code=
0108-2,數學系 MATH,C110020-Z  [MATH],1,講義,體育（二）,0  必修,,0/請參考備註,[2]7~8,Moodle,
0108-2,數學系 MATH,C125000-Z1  [MATH],1,講義,通識課程,2  必修,,0/請參考4備註,[3]3~4,Moodle,
0108-2,數學系 MATH,C125000-Z2  [MATH],2,講義,通識課程,2  必修,,0/請參考備註,[1]7~8,Moodle,
0108-2,數學系 MATH,C110040-Z  [MATH],2,講義,體育（四）,0  必修,,0/請參考備註,[2]5~6,Moodle,
0108-2,數學系 MATH,C1-055  C121121-1  [MATH2122],2,講義,高等微積分（二）,4  必修,劉育佑,42/8,[1]5~6 數學系館 3172[3]3~4 數學系館 3172,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C121121&class_code=1
0108-2,,C121121-1  [MATH2122],2,實習,,,劉育佑,4,[1]N 數學系館 3172,,
0108-2,數學系 MATH,C1-056  C121121-2  [MATH2122],2,講義,高等微積分（二）,4  必修,陳若淳,35/145,[1]5~6 數學系館 3174[3]3~4 數學系館 3174,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C121121&class_code=2
0108-2,,C121121-2  [MATH2122],2,實習,,,陳若淳,,[1]N 數學系館 3174,,
0108-2,數學系 MATH,C1-057  C121311  [MATH2143],2,講義,代數學（一）,3  必修,章源慶,654/25,[2]3~4 理學教學大樓 36202[4]2 理學教學大樓 36202,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C121311&class_code=
0108-2,,C121311  [MATH2143],2,實習,,,章源慶,,[4]1 理學教學大樓 36202,,
0108-2,數學系 MATH,C1-058  C120501  [MATH2133],2,講義,微分方程導論,3  必修,李國明,446/24,[2]2 共同教室 A1306(資源後)[4]3~4 共同教室 A1306(資源後),課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C120501&class_code=
0108-2,,C120501  [MATH2133],2,實習,,,李國明,4,[2]1 共同教室 A1306(資源後),,
0108-2,數學系 MATH,C125000-Z5  [MATH],2,講義,通識課程,2  必修,,0/依照該類課程科目序4號選課,[4]7~8,Moodle,
0108-2,數學系 MATH,C125000-Z3  [MATH],3,講義,通識課程,2  必修,,0/請參考備註,[5]1~2,Moodle,
0108-2,數學系 MATH,C1-102  C133710  [MATH5400],3,講義,幾何學（一）,3  選修,劉珈銘,54/48,[2]5~6 數學系館 3173[4]6 數學系館 3173,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C133710&class_code=
0108-2,數學系 MATH,C1-103  C144800  [MATH5201],3,講義,應用分析,3  選修,林育竹,29/21,[3]8 數學系館 3173[5]5~6 數學系館 3173,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C144800&class_code=
0108-2,數學系 MATH,C1-104  C133800  [MATH5202],3,講義,複變數函數論,3  選修,陳若淳,49/1,[3]2 數學系館 3174[5]3~4 數學系館 3174,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C133800&class_code=
