學年期,系所名稱,"科目名稱(連結課程地圖)             備註 
             限選條件",教師姓名*:主負責老師,已選課人數/餘額,系所名稱_label,學分,必選修,時間,教室,類別_實習,類別_講義,數學_微積分,數學_代數,數學_幾何,數學_數值分析,數學_分析,統計_數據分析,統計_機率,統計_時間數列,統計_貝氏統計,電腦科學_深度學習,電腦科學_演算法,電腦科學_資料結構,電腦科學_人工智慧,電腦科學_程式設計,電機工程_電路設計,電機工程_電磁學,電機工程_模擬系統,測量_測量技術,測量_地圖繪製,測量_GPS定位,土木_結構設計,土木_工程施工,土木_建築學
0108-2,數學系 MATH,微積分（二）,林育竹,454/16,0,4, 必修,"[1]2~3,[3]5~6",理學教學大樓 36202,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,線性代數（二）,劉珈銘,647/13,0,3, 必修,"[3]2,[5]3~4",資訊大樓 格致廳小講堂,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,普通物理學（二）,游輝樟,54/16,0,3, 必修,"[2]3~4,[4]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,計算機概論與程式語言,沈士育,57/13,0,3, 必修,"[3]7~8,[5]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,高等微積分（二）,劉育佑,42/8,0,4, 必修,"[1]5~6,[3]3~4",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,高等微積分（二）,陳若淳,35/145,0,4, 必修,"[1]5~6,[3]3~4",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,代數學（一）,章源慶,654/25,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36202,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,微分方程導論,李國明,446/24,0,3, 必修,"[2]2,[4]3~4",共同教室 A1306(資源後),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,幾何學（一）,劉珈銘,54/48,0,3, 選修,"[2]5~6,[4]6",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0108-2,數學系 MATH,應用分析,林育竹,29/21,0,3, 選修,"[3]8,[5]5~6",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
